State: [np.float64(0.8288276793943414), np.float64(-0.4444042047655416), np.float64(1.2838809125432569), np.float64(0.01438487197312167), np.float64(-0.008650073680600097), np.float64(0.8179977705462138)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196400412, Vel_cmd: [np.float64(13774245191862.139), np.float64(-18072410550579.48), np.float64(24586987595161.164)]
State: [np.float64(0.8601595006158154), np.float64(-0.4395212426648649), np.float64(1.2928901402098647), np.float64(0.01017913702378589), np.float64(-0.01388919349622618), np.float64(0.8380098091554025)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196400512, Vel_cmd: [np.float64(13583872802184.035), np.float64(-18582422372741.086), np.float64(24966104663696.21)]
State: [np.float64(0.8917849682274834), np.float64(-0.4338394063622747), np.float64(1.3014996701773611), np.float64(0.013325134110482877), np.float64(-0.009882810807981183), np.float64(0.8553501158128581)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196400612, Vel_cmd: [np.float64(13426424221094.918), np.float64(-19053071739718.527), np.float64(25344016011047.707)]
State: [np.float64(0.9233302682868227), np.float64(-0.42720419902689855), np.float64(1.3100181885937359), np.float64(0.01605489271956538), np.float64(-0.012227226010639214), np.float64(0.8708917948577681)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196400713, Vel_cmd: [np.float64(13288727156785.73), np.float64(-19496821457103.12), np.float64(25720734382923.98)]
State: [np.float64(0.9548661745842281), np.float64(-0.4196499579422576), np.float64(1.3185029423746544), np.float64(0.017400886897480185), np.float64(-0.008236027053242684), np.float64(0.8864730246524093)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196400813, Vel_cmd: [np.float64(13136608665442.795), np.float64(-19938260480040.207), np.float64(26096264507891.395)]
State: [np.float64(0.9864586915066428), np.float64(-0.4115046101165985), np.float64(1.3267541788212294), np.float64(0.01663898107606965), np.float64(-0.008716788343326643), np.float64(0.901926833541649)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196400914, Vel_cmd: [np.float64(12973494252114.967), np.float64(-20374853315270.51), np.float64(26470639088873.773)]
State: [np.float64(1.0185751236115137), np.float64(-0.40271984485382417), np.float64(1.3347572580444538), np.float64(0.017366144872033338), np.float64(-0.00683481133810615), np.float64(0.914025207268744)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196401014, Vel_cmd: [np.float64(12866688215773.457), np.float64(-20764842577274.848), np.float64(26843892879037.03)]
State: [np.float64(1.0507632194142542), np.float64(-0.3936595206305757), np.float64(1.3427915448635928), np.float64(0.019663800817462284), np.float64(-0.008453414457207925), np.float64(0.9236658040357452)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196401114, Vel_cmd: [np.float64(12801235339091.928), np.float64(-21120560001311.516), np.float64(27216021507914.79)]
State: [np.float64(1.0834165634265047), np.float64(-0.3844123553148344), np.float64(1.351090391520154), np.float64(0.015967928417189796), np.float64(-0.01071320134876095), np.float64(0.9344242697408705)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196401215, Vel_cmd: [np.float64(12703034736263.725), np.float64(-21487833698448.105), np.float64(27586987925237.562)]
State: [np.float64(1.1159892044867303), np.float64(-0.3752554479580451), np.float64(1.3592857232272468), np.float64(0.01574147504960449), np.float64(-0.012064100551878476), np.float64(0.9415508247898401)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196401315, Vel_cmd: [np.float64(12674669907087.66), np.float64(-21806189257800.402), np.float64(27956806627751.08)]
