State: [np.float64(0.10583837936957352), np.float64(-0.043904016488636524), np.float64(0.9981301620509715), np.float64(-0.06823946330109323), np.float64(-0.02798116375968401), np.float64(0.09980273658632778)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195463391, Vel_cmd: [np.float64(8067479370669.823), np.float64(-476554650295.821), np.float64(4598433326262.488)]
State: [np.float64(0.11996384279158784), np.float64(-0.029885897397485393), np.float64(1.0079855964529751), np.float64(-0.05944885303488292), np.float64(-0.026682452399863856), np.float64(0.11302719352065818)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195463492, Vel_cmd: [np.float64(8316715566909.842), np.float64(-610682454601.2178), np.float64(4737359860568.101)]
State: [np.float64(0.12574793230935757), np.float64(-0.025207180198197666), np.float64(1.0117371819741325), np.float64(-0.06539260154425082), np.float64(-0.027116033216258287), np.float64(0.11916943652974342)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195463592, Vel_cmd: [np.float64(8568060859478.973), np.float64(-690964990314.52), np.float64(4875761004551.896)]
State: [np.float64(0.14844070852214084), np.float64(-0.011906883384133309), np.float64(1.0261448780697784), np.float64(-0.06445167221823227), np.float64(-0.03829435044224629), np.float64(0.14507089894081)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195463692, Vel_cmd: [np.float64(8798522520784.744), np.float64(-948696933297.6367), np.float64(5012144424527.718)]
State: [np.float64(0.15536063426436045), np.float64(-0.009558730390265922), np.float64(1.030644635975713), np.float64(-0.06074731527923365), np.float64(-0.03580640642425225), np.float64(0.1512251474401216)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195463793, Vel_cmd: [np.float64(9042564747798.56), np.float64(-1040416312357.3789), np.float64(5147897676472.606)]
State: [np.float64(0.17620009286774746), np.float64(-0.007679251491533866), np.float64(1.0443041399079145), np.float64(-0.056258182732451804), np.float64(-0.04730504232025038), np.float64(0.1799192007225042)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195463893, Vel_cmd: [np.float64(9255030300196.824), np.float64(-1343755360770.9214), np.float64(5281737984888.046)]
State: [np.float64(0.18292893885321124), np.float64(-0.008972396484569975), np.float64(1.0490157882230546), np.float64(-0.05198739121196914), np.float64(-0.043484842915336434), np.float64(0.18740527431652695)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195463993, Vel_cmd: [np.float64(9489516994194.623), np.float64(-1458937083774.4253), np.float64(5414918451106.127)]
State: [np.float64(0.19628764804341176), np.float64(-0.014441970157424712), np.float64(1.0594206726772293), np.float64(-0.052886657805843736), np.float64(-0.037427426622528036), np.float64(0.20468458232860065)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195464093, Vel_cmd: [np.float64(9705133599935.445), np.float64(-1672185178457.0232), np.float64(5546641766576.347)]
State: [np.float64(0.21464124076693555), np.float64(-0.02717208766177776), np.float64(1.0752543452138947), np.float64(-0.06591475757572911), np.float64(-0.03361125493006196), np.float64(0.23313356832655424)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195464194, Vel_cmd: [np.float64(9892085057534.127), np.float64(-2002703949191.2915), np.float64(5676147657343.533)]
State: [np.float64(0.2161953242609332), np.float64(-0.028566231089769592), np.float64(1.0767322762776994), np.float64(-0.06949353537469549), np.float64(-0.034165997865340386), np.float64(0.23567585083171352)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195464294, Vel_cmd: [np.float64(10125075073117.762), np.float64(-2083461442720.3008), np.float64(5805446571445.261)]
State: [np.float64(0.23448018910938515), np.float64(-0.0458390777514197), np.float64(1.0934926288105813), np.float64(-0.06694345553706994), np.float64(-0.037058810140746676), np.float64(0.25863854450574986)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195464394, Vel_cmd: [np.float64(10309154008790.088), np.float64(-2374928453749.179), np.float64(5932398284058.068)]
State: [np.float64(0.24641444138293953), np.float64(-0.05767734514734844), np.float64(1.1044993500574245), np.float64(-0.07903824263174054), np.float64(-0.03661127039049978), np.float64(0.27385950395523656)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195464494, Vel_cmd: [np.float64(10504060656781.988), np.float64(-2593614378246.543), np.float64(6057808561763.203)]
State: [np.float64(0.2645861739587658), np.float64(-0.07552111430712966), np.float64(1.1203094720230475), np.float64(-0.0727179711818413), np.float64(-0.0314070546269422), np.float64(0.2936775798018852)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195464594, Vel_cmd: [np.float64(10679464550134.844), np.float64(-2866273098142.06), np.float64(6181004712901.169)]
State: [np.float64(0.2745034520158359), np.float64(-0.08450813609262751), np.float64(1.1287997188468506), np.float64(-0.08305900991680688), np.float64(-0.028868898542081474), np.float64(0.30237502754177503)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195464695, Vel_cmd: [np.float64(10881266055361.838), np.float64(-3025185290665.3315), np.float64(6303011848480.353)]
State: [np.float64(0.28611973555321635), np.float64(-0.09434272600713256), np.float64(1.1385763425708544), np.float64(-0.08140377915874279), np.float64(-0.028041314472811527), np.float64(0.3124371629765356)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195464795, Vel_cmd: [np.float64(11075379076510.383), np.float64(-3201950964097.8057), np.float64(6423649818006.688)]
State: [np.float64(0.3048456340921597), np.float64(-0.10925637440093243), np.float64(1.1536855477147874), np.float64(-0.07294030629847344), np.float64(-0.032730970682880424), np.float64(0.30298309045278976)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195464895, Vel_cmd: [np.float64(11328672790988.654), np.float64(-3160878779469.4976), np.float64(6542171820774.777)]
State: [np.float64(0.31896225945077483), np.float64(-0.11921464970782417), np.float64(1.164461511727109), np.float64(-0.07455616671314846), np.float64(-0.027166533079959743), np.float64(0.2878030356642225)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195464995, Vel_cmd: [np.float64(11598103093295.59), np.float64(-3047870076836.581), np.float64(6659184705002.628)]
State: [np.float64(0.3366946149154846), np.float64(-0.13179039499897188), np.float64(1.1774357283824504), np.float64(-0.075478366203652), np.float64(-0.03060078275201084), np.float64(0.27146040466593235)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195465096, Vel_cmd: [np.float64(11867894920698.48), np.float64(-2912301567107.847), np.float64(6774380616670.645)]
State: [np.float64(0.35318580109824893), np.float64(-0.14430362827656132), np.float64(1.1887458947640768), np.float64(-0.06775108701325107), np.float64(-0.03272522774782528), np.float64(0.25252718644993)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195465196, Vel_cmd: [np.float64(12141403778364.578), np.float64(-2736055231282.062), np.float64(6887992597493.316)]
State: [np.float64(0.36737318525741497), np.float64(-0.15521772612785092), np.float64(1.1979664413297666), np.float64(-0.06792287815341641), np.float64(-0.03444380356446749), np.float64(0.23846337858690195)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195465296, Vel_cmd: [np.float64(12398095437164.322), np.float64(-2609865558357.726), np.float64(7000313288019.136)]
State: [np.float64(0.3879160952767389), np.float64(-0.17283154244110763), np.float64(1.211172796424204), np.float64(-0.07036771605022761), np.float64(-0.032968805835755934), np.float64(0.21603849358203145)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195465397, Vel_cmd: [np.float64(12671314181307.941), np.float64(-2369585333282.9824), np.float64(7110784496185.536)]
State: [np.float64(0.40410725330730235), np.float64(-0.18795094458311343), np.float64(1.2213745767186739), np.float64(-0.07479482165348689), np.float64(-0.032751207100781735), np.float64(0.20042147595993245)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195465497, Vel_cmd: [np.float64(12923146370359.69), np.float64(-2205157679944.627), np.float64(7219826997298.56)]
State: [np.float64(0.4221432451637034), np.float64(-0.20584989580990368), np.float64(1.2326081611980981), np.float64(-0.07149290149636878), np.float64(-0.029641090280951486), np.float64(0.18346306413274735)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195465597, Vel_cmd: [np.float64(13173339498350.316), np.float64(-2014374122904.9126), np.float64(7327296292468.539)]
State: [np.float64(0.42273016332167257), np.float64(-0.20652923638342932), np.float64(1.2329587773926136), np.float64(-0.07012565937420272), np.float64(-0.02757434687278268), np.float64(0.18105895001373967)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195466390, Vel_cmd: [np.float64(13392797087633.357), np.float64(-2010810958651.384), np.float64(7434716485685.7295)]
State: [np.float64(0.42335618994749535), np.float64(-0.20721233319923624), np.float64(1.233373722382841), np.float64(-0.07107542685994511), np.float64(-0.028029011554693006), np.float64(0.18088222693638764)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195466397, Vel_cmd: [np.float64(13607732209522.678), np.float64(-2036467789309.3726), np.float64(7542078567983.479)]
State: [np.float64(0.5730863233806378), np.float64(-0.3681818028050956), np.float64(1.3317140804137155), np.float64(-0.0762071175855923), np.float64(-0.01603865316864868), np.float64(0.06708330059381311)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195466492, Vel_cmd: [np.float64(13947434450871.576), np.float64(-471637052379.4468), np.float64(7635668586999.966)]
State: [np.float64(0.5779741363886431), np.float64(-0.37357188157794463), np.float64(1.3347442821950932), np.float64(-0.07640453561739945), np.float64(-0.01591173641327925), np.float64(0.06452215345805344)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195466593, Vel_cmd: [np.float64(14144399981169.334), np.float64(-428627789964.55096), np.float64(7728834241788.147)]
State: [np.float64(0.6062239490405964), np.float64(-0.4053301109052437), np.float64(1.3513757239291528), np.float64(-0.07269241695856186), np.float64(-0.017048607994867675), np.float64(0.04053923119496306)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195466693, Vel_cmd: [np.float64(14342382800579.904), np.float64(-75486325048.60217), np.float64(7819670748379.1455)]
State: [np.float64(0.6279011615293935), np.float64(-0.4308957714994282), np.float64(1.3635489899016946), np.float64(-0.06715881026321378), np.float64(-0.01339696204648527), np.float64(0.022296354458438257)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195466793, Vel_cmd: [np.float64(14529920469411.379), np.float64(204908199966.62427), np.float64(7908802451446.401)]
State: [np.float64(0.6419606673729922), np.float64(-0.4478897172229033), np.float64(1.3713971972061112), np.float64(-0.07520967443918282), np.float64(-0.009908190350081744), np.float64(0.00893273736310707)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195466894, Vel_cmd: [np.float64(14712245553323.44), np.float64(421246754963.53076), np.float64(7996835053296.565)]
State: [np.float64(0.66041283900697), np.float64(-0.46931329742444267), np.float64(1.3815511760281538), np.float64(-0.09429799478170231), np.float64(-0.008390066755594628), np.float64(-0.008227507453952338)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195466994, Vel_cmd: [np.float64(14886264927283.627), np.float64(700143136129.9005), np.float64(8083445642442.125)]
State: [np.float64(0.6774282549521873), np.float64(-0.48694663923005), np.float64(1.3909536539801968), np.float64(-0.11781852604414608), np.float64(-0.005061983142384488), np.float64(-0.02553498921967877)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195467094, Vel_cmd: [np.float64(15052490329682.521), np.float64(988223808593.3049), np.float64(8168739462729.426)]
State: [np.float64(0.6936448817096289), np.float64(-0.5002805685264882), np.float64(1.3998057642421218), np.float64(-0.1277338131985587), np.float64(-0.0035302821903151994), np.float64(-0.041543779028395185)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195467195, Vel_cmd: [np.float64(15212551229951.564), np.float64(1263117595881.9814), np.float64(8252793590333.54)]
